"Nama Wilayah","Provinsi","IPM","Penduduk Miskin","tingkat pengangguran","pdrb","Kepadatan Penduduk (orang/km2)","RLS","AHH"
"Simeulue","ACEH","69.01","17.69","5.5","31944","54.14","9.89","69.69"
"Aceh Singkil","ACEH","70.75","19.06","6.44","25361","73.23","8.72","69.96"
"Aceh Selatan","ACEH","69.1","12.02","4.56","30853","57.96","8.92","70.49"
"Aceh Tenggara","ACEH","71.7","11.99","4.79","28742","56.1","10.1","72.75"
"Aceh Timur","ACEH","69.87","13.26","7.75","33666","81.66","8.48","72.24"
"Aceh Tengah","ACEH","75.41","14.27","4.21","47284","50.15","10.03","73.04"
"Aceh Barat","ACEH","73.69","17.6","5.58","67938","73.39","9.99","72.03"
"Aceh Besar","ACEH","75.13","13.21","7.93","42993","148.55","10.37","73.24"
"Pidie","ACEH","72.31","18.59","5.74","32150","144.4","9.04","69.99"
"Bireuen","ACEH","74.45","12.1","3.93","40039","256","9.59","73.82"
"Aceh Utara","ACEH","71.7","16.11","6.88","47628","233.11","9.11","72.75"
"Aceh Barat Daya","ACEH","68.75","15.32","3.83","33721","84.57","8.78","70.63"
"Gayo Lues","ACEH","69.83","18.3","2.4","33552","19.27","8.44","69.92"
"Aceh Tamiang","ACEH","72.32","12.17","6.95","37412","141.48","9.3","73.79"
"Nagan Raya","ACEH","71.72","16.94","5.22","70463","51.64","9.25","72.67"
"Aceh Jaya","ACEH","71.83","12.25","2.75","36357","25.48","9.02","70.89"
"Bener Meriah","ACEH","75.01","18.18","2.2","37903","89.1","10.13","73"
"Pidie Jaya","ACEH","75.16","18.28","3.82","28383","174.65","9.59","73.31"
"Kota Banda Aceh","ACEH","87.17","6.95","7.55","98201","4745.19","13.1","75.25"
"Kota Sabang","ACEH","78.32","14.58","2.95","42813","356.19","11.22","73.52"
"Kota Langsa","ACEH","78.81","10.33","7.34","37006","911.31","11.28","74.11"
"Kota Lhokseumawe","ACEH","79.55","10.44","8.47","59122","1468.26","11.31","74.93"
"Kota Subulussalam","ACEH","68.04","16.38","5.12","27880","83.7","8.43","69.8"
"Nias","SUMATERA UTARA","65.55","14.89","2.08","34085","172","6.4","71.89"
"Mandailing Natal","SUMATERA UTARA","69.33","8.69","7.18","40129","77","9.11","71.88"
"Tapanuli Selatan","SUMATERA UTARA","72.14","6.92","3.35","67227","75","9.56","71.77"
"Tapanuli Tengah","SUMATERA UTARA","71.52","11.8","7.21","34619","171","8.92","71.96"
"Tapanuli Utara","SUMATERA UTARA","75.23","8.21","-","34494","84","10.31","74.36"
"Toba Samosir / Toba","SUMATERA UTARA","76.91","8.07","1","47455","95","10.77","74.54"
"Labuhan Batu","SUMATERA UTARA","74.18","7.84","5.53","97593","188","9.5","73.13"
"Asahan","SUMATERA UTARA","72.09","8.12","5.46","70611","218","8.85","73.65"
"Simalungun","SUMATERA UTARA","74.97","7.72","4.48","56003","229","9.73","74.3"
"Dairi","SUMATERA UTARA","73.92","7.1","1.21","38398","159","9.89","74.38"
"Karo","SUMATERA UTARA","76.55","7.37","1.93","67690","193","10.12","74.39"
"Deli Serdang","SUMATERA UTARA","76.92","3.44","7.69","73934","794","10.29","73.81"
"Langkat","SUMATERA UTARA","72.73","9.04","5.85","57859","176","8.74","74.39"
"Nias Selatan","SUMATERA UTARA","65.02","16.32","2.98","23409","154","6.52","71.77"
"Humbang Hasundutan","SUMATERA UTARA","71.59","8.44","-","39949","88","10.13","74.27"
"Pakpak Bharat","SUMATERA UTARA","70.36","6.87","0.91","30576","41","9.73","72.95"
"Samosir","SUMATERA UTARA","72.88","11.63","0.87","42639","77","9.61","74.35"
"Serdang Bedagai","SUMATERA UTARA","72.47","6.97","4.31","60743","355","9.12","73.39"
"Batu Bara","SUMATERA UTARA","70.83","10.94","5.44","108189","492","8.51","72.97"
"Padang Lawas Utara","SUMATERA UTARA","72.32","8.97","3.73","63548","71","9.82","71.74"
"Padang Lawas","SUMATERA UTARA","71.27","7.87","5.03","65288","72","9.63","71.67"
"Labuhan Batu Selatan","SUMATERA UTARA","73.67","7.73","3.19","124517","109","9.19","72.71"
"Labuhan Batu Utara","SUMATERA UTARA","74.4","8.98","4.21","89497","111","9.14","74.23"
"Nias Utara","SUMATERA UTARA","65.62","21.5","2.4","30190","128","7.05","72.3"
"Nias Barat","SUMATERA UTARA","64.67","22.68","0.97","26031","209","7.26","72.55"
"Kota Sibolga","SUMATERA UTARA","75.66","11.39","6.44","78494","7998","10.45","74.19"
"Kota Tanjung Balai","SUMATERA UTARA","71.1","11.97","3.81","65758","3090","9.69","74.18"
"Kota Pematang Siantar","SUMATERA UTARA","81.17","7.2","7.74","62629","3649","11.82","75.03"
"Kota Tebing Tinggi","SUMATERA UTARA","77.45","8.79","5.99","43514","4620","10.87","74.29"
"Kota Medan","SUMATERA UTARA","82.76","7.94","7.99","132571","8902","11.79","75.09"
"Kota Binjai","SUMATERA UTARA","78.1","4.75","5.37","50750","3276","11.2","74.45"
"Kota Padangsidimpuan","SUMATERA UTARA","76.96","6.23","7","35727","1507","11.13","73.73"
"Kota Gunungsitoli","SUMATERA UTARA","71.41","14.72","3.29","50415","696","8.76","74.23"
"Kepulauan Mentawai","SUMATERA BARAT","63.99","13.89","1.44","67574","15","8.03","71.21"
"Pesisir Selatan","SUMATERA BARAT","72.02","7.49","5.06","35865","93","8.81","73.44"
"Solok","SUMATERA BARAT","71.02","7.31","4.91","44727","110","7.91","72.52"
"Sijunjung","SUMATERA BARAT","70.23","5.78","4.73","50993","79","8.62","72.89"
"Tanah Datar","SUMATERA BARAT","74.9","4.28","5.3","45268","291","9.29","74.26"
"Padang Pariaman","SUMATERA BARAT","73.1","6.27","6.59","58687","345","8.42","73.88"
"Agam","SUMATERA BARAT","74.66","6.83","4.73","49994","310","9.23","74.39"
"Lima Puluh Kota","SUMATERA BARAT","71.14","6.92","3.68","52107","112","8.13","73.42"
"Pasaman","SUMATERA BARAT","68.89","6.74","5.25","38136","81","8.14","72.36"
"Solok Selatan","SUMATERA BARAT","71.5","6.56","2.3","39130","58","8.85","72.5"
"Dharmasraya","SUMATERA BARAT","74.06","5.32","6.02","58908","82","8.98","74.25"
"Pasaman Barat","SUMATERA BARAT","70.93","7","6.34","46114","117","8.99","72.75"
"Kota Padang","SUMATERA BARAT","83.99","4.06","9.88","88030","1376","11.63","75.2"
"Kota Solok","SUMATERA BARAT","80","3.07","4.91","70365","1115","11.37","74.85"
"Kota Sawah Lunto","SUMATERA BARAT","75.13","2.33","5.55","74768","296","10.53","74.12"
"Kota Padang Panjang","SUMATERA BARAT","80.17","5.31","4.94","81129","2585","12","74.48"
"Kota Bukittinggi","SUMATERA BARAT","82.51","4.08","4.72","94538","4953","11.65","75.62"
"Kota Payakumbuh","SUMATERA BARAT","80.61","5.19","4.87","63820","1722","10.89","75.08"
"Kota Pariaman","SUMATERA BARAT","78.88","4.26","5.32","69308","1487","11.06","74.37"
"Kuantan Singingi","RIAU","72.33","7.89","2.84","148878","64","9.14","72.96"
"Indragiri Hulu","RIAU","71.48","6.02","2.59","129125","60","8.43","73.63"
