Wilayah,IPM,Kemiskinan,Pengangguran,PDRB,Kepadatan,RLS,AHH
Simeulue,0.6234038498189444,0.39448838989538143,0.48820326678765874,0.03105164965630082,0.0023750740217737894,0.7128801431127013,0.40292275574112735
Aceh Singkil,0.6565656565656567,0.42944628731819334,0.573502722323049,0.024483952390929136,0.0032446590443219606,0.6082289803220037,0.42171189979123147
Aceh Selatan,0.6251191156851533,0.24980862464914513,0.4029038112522685,0.029963185777139266,0.002549082130005011,0.6261180679785331,0.4585942936673624
Aceh Tenggara,0.6746712407089767,0.24904312324572592,0.4237749546279491,0.027857092973372043,0.002464355668929076,0.7316636851520573,0.6158663883089772
Aceh Timur,0.639794168096055,0.28144934932380705,0.6923774954627948,0.03276964672313509,0.0036286612308112785,0.5867620751341682,0.5803757828810019
Aceh Tengah,0.7453783114160473,0.3072212299055881,0.3711433756805807,0.046355990542037054,0.002193322097207671,0.7254025044722718,0.6360473208072379
Aceh Barat,0.7125976748618258,0.39219188568512375,0.49546279491833023,0.06696197858988556,0.003251947342048923,0.721824686940966,0.5657620041753656
Aceh Besar,0.740041928721174,0.28017351365144166,0.7087114337568057,0.042074965330779285,0.0066756251992893915,0.7558139534883721,0.649965205288796
Pidie,0.6862969315799505,0.4174534319979586,0.5099818511796733,0.03125717079205451,0.00648658497699631,0.6368515205724508,0.4237995824634654
Bireuen,0.7270821421764819,0.2518499617249298,0.34573502722323046,0.03912783215108796,0.011570172641552407,0.686046511627907,0.6903270702853164
Aceh Utara,0.6746712407089767,0.3541719826486348,0.6134301270417422,0.0466991908852374,0.010527490547988886,0.6431127012522361,0.6158663883089772
Aceh Barat Daya,0.618448637316562,0.3340137790252615,0.3366606170598911,0.0328245188710305,0.003761217145720402,0.6135957066189623,0.4683368128044536
Gayo Lues,0.639031827711073,0.4100535850982393,0.2068965517241379,0.032655911725679165,7.866806359039766e-4,0.5831842576028622,0.41892832289492027
Aceh Tamiang,0.6864875166761959,0.2536361316662413,0.6197822141560798,0.03650693883252023,0.006353573543479251,0.6601073345259393,0.6882393876130835
Nagan Raya,0.6750524109014675,0.37535085480990044,0.46279491833030845,0.06948110901599273,0.002261194369790006,0.6556350626118068,0.6102992345163538
Aceh Jaya,0.6771488469601677,0.25567746874202596,0.23865698729582574,0.03545439126834476,0.001069557691431695,0.6350626118067978,0.4864300626304804
Bener Meriah,0.7377549075662285,0.4069915794845623,0.18874773139745915,0.03699679746191374,0.003967567075115018,0.7343470483005368,0.6332637439109258
Pidie Jaya,0.7406136840099105,0.40954325082929316,0.3357531760435571,0.0274989274989275,0.00786452876600009,0.686046511627907,0.654836464857342
Kota Banda Aceh,0.9695063846007244,0.12043888747129369,0.6742286751361161,0.09715462971276925,0.21606113059718488,1,0.7898399443284623
Kota Sabang,0.80083857442348,0.3151314110742536,0.2568058076225045,0.04189538375584887,0.016134013574454518,0.8318425760286227,0.6694502435629783
